athlete,gender,region,wod,score,rank,overall_score,overall_rank
Frosti Gylfason,m,europe,14_4,220,57,128,8
Samuel Gallego,m,europe,14_4,220,52,476,48
Matt Rodwell,m,europe,14_4,221,51,193,15
Liam Hogan,m,europe,14_4,221,47,351,23
Philip Bengtsson,m,europe,14_4,222,46,283,21
Alec Harwood,m,europe,14_4,224,40,360,28
Viktor Långsved,m,europe,14_4,224,42,399,32
Anže Benko,m,europe,14_4,224,39,559,58
Rob Martin,m,europe,14_4,228,35,461,46
Sigurður Þrastarson,m,europe,14_4,229,31,105,5
Adam Shackell,m,europe,14_4,229,30,508,53
Stefano Migliorini,m,europe,14_4,230,27,131,9
Davide Marini,m,europe,14_4,230,29,387,31
Barry McDermott,m,europe,14_4,230,28,554,57
Mitchell Adams,m,europe,14_4,232,26,351,23
Christer Idland,m,europe,14_4,233,25,193,15
Jakob Magnusson,m,europe,14_4,234,24,81,1
Jordan Wallace,m,europe,14_4,234,23,112,6
Gregor Schregle,m,europe,14_4,235,22,212,18
Mareck Bigler,m,europe,14_4,235,21,447,41
John Reid,m,europe,14_4,236,20,433,39
Jonne Koski,m,europe,14_4,237,19,102,4
Steven Fawcett,m,europe,14_4,238,18,448,42
Robert Manlove,m,europe,14_4,239,17,211,17
David Shorunke,m,europe,14_4,240,16,414,35
Jonas Mueller,m,europe,14_4,241,15,267,19
Riccardo Donati,m,europe,14_4,241,14,315,22
Antony Monks,m,europe,14_4,242,13,135,10
Lukas Esslinger,m,europe,14_4,244,12,176,14
Numi Katrinarson,m,europe,14_4,245,9,138,11
Eiríkur Baldursson,m,europe,14_4,245,8,436,40
Mads Rasmussen,m,europe,14_4,245,11,474,47
Lukas Högberg,m,europe,14_4,250,6,99,3
Frederik Aegidius,m,europe,14_4,250,5,118,7
Björgvin Karl Guðmundsson,m,europe,14_4,251,3,92,2
Lacee Kovacs,m,europe,14_4,251,4,162,12
Will Kane,m,europe,14_4,253,2,363,29
Marc Ordeig,m,europe,14_4,260,1,416,36
Jonas Mueller,m,europe,14_5,NA,1,267,19
Jordan Wallace,m,europe,14_5,NA,2,112,6
Andy Edwards,m,europe,14_5,NA,3,167,13
Casper Gammelmark,m,europe,14_5,NA,3,430,37
Lacee Kovacs,m,europe,14_5,NA,5,162,12
Steven Fawcett,m,europe,14_5,NA,6,448,42
Davide Marini,m,europe,14_5,NA,7,387,31
Numi Katrinarson,m,europe,14_5,NA,8,138,11
Frederik Aegidius,m,europe,14_5,NA,10,118,7
Marc Ordeig,m,europe,14_5,NA,11,416,36
Riccardo Donati,m,europe,14_5,NA,12,315,22
Lukas Högberg,m,europe,14_5,NA,13,99,3
florent paillasson,m,europe,14_5,NA,14,490,51
Will Kane,m,europe,14_5,NA,15,363,29
Christophe Besnard,m,europe,14_5,NA,18,486,50
Björgvin Karl Guðmundsson,m,europe,14_5,NA,19,92,2
Anders Gronsund,m,europe,14_5,NA,20,508,53
Jonne Koski,m,europe,14_5,NA,21,102,4
Sigurður Þrastarson,m,europe,14_5,NA,21,105,5
Jakob Magnusson,m,europe,14_5,NA,23,81,1
Laurent CAMPS,m,europe,14_5,NA,23,352,25
Mitchell Adams,m,europe,14_5,NA,27,351,23
David Shorunke,m,europe,14_5,NA,28,414,35
Antony Monks,m,europe,14_5,NA,30,135,10
Frosti Gylfason,m,europe,14_5,NA,32,128,8
Liam Hogan,m,europe,14_5,NA,32,351,23
Benjamin Massey,m,europe,14_5,NA,32,450,43
Stefano Migliorini,m,europe,14_5,NA,35,131,9
Elliot Simmonds,m,europe,14_5,NA,35,430,37
Viktor Långsved,m,europe,14_5,NA,37,399,32
Lukas Esslinger,m,europe,14_5,NA,38,176,14
Christer Idland,m,europe,14_5,NA,41,193,15
Tom Burnell,m,europe,14_5,NA,44,452,44
Malte Rommedahl,m,europe,14_5,NA,46,533,56
Filip Yang Fisker,m,europe,14_5,NA,50,453,45
Robert Manlove,m,europe,14_5,NA,51,211,17
Mareck Bigler,m,europe,14_5,NA,54,447,41
Karl Thorpe,m,europe,14_5,NA,54,582,60
Alexandre Jolivet,m,europe,14_5,NA,59,279,20
Bartlomiej Lipka,m,europe,14_5,NA,60,401,33
Mads Rasmussen,m,europe,14_5,NA,60,474,47
Sam Henderson,m,europe,14_5,NA,71,354,26
Rob Martin,m,europe,14_5,NA,71,461,46
Arnar Sigurðsson,m,europe,14_5,NA,76,405,34
Anže Benko,m,europe,14_5,NA,80,559,58
Dan Forster,m,europe,14_5,NA,85,578,59
Samuel Gallego,m,europe,14_5,NA,88,476,48
Matt Rodwell,m,europe,14_5,NA,94,193,15
Lee Howe,m,europe,14_5,NA,95,377,30
Philip Bengtsson,m,europe,14_5,NA,97,283,21
Eiríkur Baldursson,m,europe,14_5,NA,103,436,40
John Reid,m,europe,14_5,NA,108,433,39
Alec Harwood,m,europe,14_5,NA,112,360,28
Barry McDermott,m,europe,14_5,NA,113,554,57
Gregor Schregle,m,europe,14_5,NA,124,212,18
David Carlsson,m,europe,14_5,NA,145,357,27
Scott Jenkins,m,europe,14_5,NA,156,508,53
Richard Vanmeerbeek,m,europe,14_5,NA,173,480,49
Joakim Ro-Poulsen,m,europe,14_5,NA,183,491,52
Adam Shackell,m,europe,14_5,NA,301,508,53
jose escudero,m,latinamerica,14_1,306,312,556,53
Luis Emilio Barcia Ubillus,m,latinamerica,14_1,312,191,452,40
Carlos Lopez,m,latinamerica,14_1,314,169,444,38
Keith Kandetzke,m,latinamerica,14_1,314,169,515,48
Trevor Amodeo,m,latinamerica,14_1,315,143,249,16
William Rivera landron,m,latinamerica,14_1,315,143,352,29
Daniel Martínez massa,m,latinamerica,14_1,315,143,585,57
Martin Robledo,m,latinamerica,14_1,316,140,408,34
Jovaldo Miranda Valdivia,m,latinamerica,14_1,316,140,474,44
Claudio Poblete,m,latinamerica,14_1,319,131,556,53
Jonathan Noreña,m,latinamerica,14_1,319,131,585,57
Tiago Lopes,m,latinamerica,14_1,320,128,442,37
Stefano Orsini,m,latinamerica,14_1,324,120,241,15
Francisco Javier,m,latinamerica,14_1,324,120,271,17
Emmanuel Maldonado,m,latinamerica,14_1,326,114,211,14
Francis Torres,m,latinamerica,14_1,331,103,273,19
Giancarlo Vera Ochoa,m,latinamerica,14_1,331,103,414,36
Johnny Chong Pico,m,latinamerica,14_1,331,103,497,45
Batuque Iribarren,m,latinamerica,14_1,334,100,178,11
Alfredo Escobar,m,latinamerica,14_1,335,92,342,28
Casey Wylie,m,latinamerica,14_1,336,89,500,46
Luiz Mello,m,latinamerica,14_1,337,87,459,42
Andres Lee,m,latinamerica,14_1,337,87,563,55
Pepe Alvarez,m,latinamerica,14_1,340,80,465,43
Rodrigo Valenzuela,m,latinamerica,14_1,341,79,194,13
Emanuel Aponte,m,latinamerica,14_1,342,75,165,10
Zathan Simpson,m,latinamerica,14_1,342,75,408,34
Luis Giraldo,m,latinamerica,14_1,345,58,294,22
Juan Cruz Sartori,m,latinamerica,14_1,345,58,295,23
Enrique Torano,m,latinamerica,14_1,345,58,398,32
Augusto Castro,m,latinamerica,14_1,345,58,513,47
Agustin Garavaglia,m,latinamerica,14_1,345,58,618,60
Evaristo Cortes,m,latinamerica,14_1,346,55,581,56
Artur Machado,m,latinamerica,14_1,347,49,400,33
Alvaro Lopez,m,latinamerica,14_1,347,49,454,41
Lucas Rosa,m,latinamerica,14_1,347,49,522,49
Conor Murphy,m,latinamerica,14_1,348,44,191,12
Douglas Oberbeck,m,latinamerica,14_1,348,44,451,39
Dennis Kok,m,latinamerica,14_1,349,43,533,51
Titus Thut,m,latinamerica,14_1,350,38,158,9
Luis Vildosola,m,latinamerica,14_1,350,38,363,30
Alan Garcia,m,latinamerica,14_1,351,32,141,6
Javier Meza,m,latinamerica,14_1,351,32,532,50
Marco Ramirez,m,latinamerica,14_1,352,27,293,21
Esteban Burgos,m,latinamerica,14_1,352,27,546,52
Orlando Trejo,m,latinamerica,14_1,354,21,50,2
Fernando Villafaña,m,latinamerica,14_1,355,17,286,20
Bruno Santos Feitosa,m,latinamerica,14_1,355,17,332,26
Javier Hidalgo,m,latinamerica,14_1,355,17,340,27
Joel Bran,m,latinamerica,14_1,356,14,157,8
Cassiano Lessing,m,latinamerica,14_1,357,13,272,18
Joaquin Jadue,m,latinamerica,14_1,358,11,136,5
Kevin Vega,m,latinamerica,14_1,358,11,316,25
Mark Desin,m,latinamerica,14_1,359,10,93,3
Sebastian Stange,m,latinamerica,14_1,360,8,585,57
anderon primo,m,latinamerica,14_1,368,7,383,31
Evan Yoak,m,latinamerica,14_1,370,6,295,23
Tarcio Santos Ferreira,m,latinamerica,14_1,386,5,106,4
Moises Sevilla,m,latinamerica,14_1,391,4,156,7
Leonidas Jenkins,m,latinamerica,14_1,396,2,40,1
Evaristo Cortes,m,latinamerica,14_2,136,368,581,56
Lucas Rosa,m,latinamerica,14_2,141,259,522,49
Luis Vildosola,m,latinamerica,14_2,142,241,363,30
Agustin Garavaglia,m,latinamerica,14_2,142,241,618,60
Enrique Torano,m,latinamerica,14_2,143,228,398,32
Marco Ramirez,m,latinamerica,14_2,175,165,293,21
Zathan Simpson,m,latinamerica,14_2,176,147,408,34
Sebastian Stange,m,latinamerica,14_2,176,147,585,57
Jonathan Noreña,m,latinamerica,14_2,176,147,585,57
Javier Hidalgo,m,latinamerica,14_2,177,144,340,27
William Rivera landron,m,latinamerica,14_2,177,144,352,29
Jovaldo Miranda Valdivia,m,latinamerica,14_2,179,135,474,44
Dennis Kok,m,latinamerica,14_2,180,128,533,51
Evan Yoak,m,latinamerica,14_2,183,116,295,23
Carlos Lopez,m,latinamerica,14_2,183,116,444,38
Keith Kandetzke,m,latinamerica,14_2,183,116,515,48
Javier Meza,m,latinamerica,14_2,183,116,532,50
Joel Bran,m,latinamerica,14_2,184,109,157,8
Tiago Lopes,m,latinamerica,14_2,185,104,442,37
Cassiano Lessing,m,latinamerica,14_2,189,87,272,18
Daniel Martínez massa,m,latinamerica,14_2,189,87,585,57
Douglas Oberbeck,m,latinamerica,14_2,190,82,451,39
Esteban Burgos,m,latinamerica,14_2,191,79,546,52
Luiz Mello,m,latinamerica,14_2,192,68,459,42
Andres Lee,m,latinamerica,14_2,192,68,563,55
Francisco Javier,m,latinamerica,14_2,193,64,271,17
Francis Torres,m,latinamerica,14_2,194,61,273,19
Pepe Alvarez,m,latinamerica,14_2,194,61,465,43
Kevin Vega,m,latinamerica,14_2,195,58,316,25
Bruno Santos Feitosa,m,latinamerica,14_2,196,53,332,26
Giancarlo Vera Ochoa,m,latinamerica,14_2,196,53,414,36
jose escudero,m,latinamerica,14_2,196,53,556,53
Mark Desin,m,latinamerica,14_2,197,49,93,3
Luis Emilio Barcia Ubillus,m,latinamerica,14_2,197,49,452,40
Moises Sevilla,m,latinamerica,14_2,198,41,156,7
Batuque Iribarren,m,latinamerica,14_2,198,41,178,11
anderon primo,m,latinamerica,14_2,198,41,383,31
Claudio Poblete,m,latinamerica,14_2,198,41,556,53
Emanuel Aponte,m,latinamerica,14_2,199,40,165,10
Joaquin Jadue,m,latinamerica,14_2,200,32,136,5
Martin Robledo,m,latinamerica,14_2,200,32,408,34
Johnny Chong Pico,m,latinamerica,14_2,200,32,497,45
Casey Wylie,m,latinamerica,14_2,200,32,500,46
Emmanuel Maldonado,m,latinamerica,14_2,202,27,211,14
Stefano Orsini,m,latinamerica,14_2,202,27,241,15
Artur Machado,m,latinamerica,14_2,202,27,400,33
Alan Garcia,m,latinamerica,14_2,205,22,141,6
Juan Cruz Sartori,m,latinamerica,14_2,205,22,295,23
Trevor Amodeo,m,latinamerica,14_2,229,18,249,16
Augusto Castro,m,latinamerica,14_2,232,17,513,47
Luis Giraldo,m,latinamerica,14_2,241,13,294,22
Alfredo Escobar,m,latinamerica,14_2,243,12,342,28
Conor Murphy,m,latinamerica,14_2,245,11,191,12
Fernando Villafaña,m,latinamerica,14_2,249,10,286,20
Rodrigo Valenzuela,m,latinamerica,14_2,250,9,194,13
Tarcio Santos Ferreira,m,latinamerica,14_2,257,8,106,4
Orlando Trejo,m,latinamerica,14_2,259,6,50,2
Alvaro Lopez,m,latinamerica,14_2,259,6,454,41
Titus Thut,m,latinamerica,14_2,260,5,158,9
Leonidas Jenkins,m,latinamerica,14_2,265,3,40,1
Alvaro Lopez,m,latinamerica,14_3,131,323,454,41
Pepe Alvarez,m,latinamerica,14_3,132,277,465,43
Alfredo Escobar,m,latinamerica,14_3,134,222,342,28
Andres Lee,m,latinamerica,14_3,134,204,563,55
Juan Cruz Sartori,m,latinamerica,14_3,135,183,295,23
Johnny Chong Pico,m,latinamerica,14_3,135,168,497,45
Javier Meza,m,latinamerica,14_3,135,166,532,50
Fernando Villafaña,m,latinamerica,14_3,136,140,286,20
Zathan Simpson,m,latinamerica,14_3,136,139,408,34
Martin Robledo,m,latinamerica,14_3,136,151,408,34
Douglas Oberbeck,m,latinamerica,14_3,136,163,451,39
Sebastian Stange,m,latinamerica,14_3,136,149,585,57
Jovaldo Miranda Valdivia,m,latinamerica,14_3,137,113,474,44
Casey Wylie,m,latinamerica,14_3,137,131,500,46
Lucas Rosa,m,latinamerica,14_3,137,110,522,49
Claudio Poblete,m,latinamerica,14_3,137,119,556,53
Conor Murphy,m,latinamerica,14_3,138,100,191,12
anderon primo,m,latinamerica,14_3,138,96,383,31
Giancarlo Vera Ochoa,m,latinamerica,14_3,138,88,414,36
Tiago Lopes,m,latinamerica,14_3,138,90,442,37
Daniel Martínez massa,m,latinamerica,14_3,138,103,585,57
Tarcio Santos Ferreira,m,latinamerica,14_3,139,71,106,4
Bruno Santos Feitosa,m,latinamerica,14_3,139,74,332,26
Artur Machado,m,latinamerica,14_3,139,84,400,33
jose escudero,m,latinamerica,14_3,139,71,556,53
Titus Thut,m,latinamerica,14_3,140,52,158,9
Rodrigo Valenzuela,m,latinamerica,14_3,140,59,194,13
Francis Torres,m,latinamerica,14_3,140,57,273,19
Luiz Mello,m,latinamerica,14_3,140,63,459,42
Esteban Burgos,m,latinamerica,14_3,140,52,546,52
Jonathan Noreña,m,latinamerica,14_3,140,64,585,57
Alan Garcia,m,latinamerica,14_3,141,40,141,6
Stefano Orsini,m,latinamerica,14_3,141,43,241,15
Trevor Amodeo,m,latinamerica,14_3,141,45,249,16
Luis Emilio Barcia Ubillus,m,latinamerica,14_3,141,49,452,40
Francisco Javier,m,latinamerica,14_3,142,37,271,17
Marco Ramirez,m,latinamerica,14_3,142,38,293,21
Luis Giraldo,m,latinamerica,14_3,142,35,294,22
Emanuel Aponte,m,latinamerica,14_3,143,29,165,10
Enrique Torano,m,latinamerica,14_3,143,31,398,32
Carlos Lopez,m,latinamerica,14_3,143,27,444,38
Augusto Castro,m,latinamerica,14_3,143,32,513,47
Dennis Kok,m,latinamerica,14_3,143,27,533,51
Agustin Garavaglia,m,latinamerica,14_3,143,33,618,60
Leonidas Jenkins,m,latinamerica,14_3,144,23,40,1
Emmanuel Maldonado,m,latinamerica,14_3,144,25,211,14
Javier Hidalgo,m,latinamerica,14_3,144,26,340,27
Evaristo Cortes,m,latinamerica,14_3,145,22,581,56
Orlando Trejo,m,latinamerica,14_3,146,19,50,2
Evan Yoak,m,latinamerica,14_3,146,16,295,23
Keith Kandetzke,m,latinamerica,14_3,146,20,515,48
Batuque Iribarren,m,latinamerica,14_3,147,14,178,11
Kevin Vega,m,latinamerica,14_3,147,15,316,25
Mark Desin,m,latinamerica,14_3,149,10,93,3
Joaquin Jadue,m,latinamerica,14_3,150,9,136,5
Luis Vildosola,m,latinamerica,14_3,150,8,363,30
Moises Sevilla,m,latinamerica,14_3,153,4,156,7
Cassiano Lessing,m,latinamerica,14_3,153,5,272,18
William Rivera landron,m,latinamerica,14_3,155,3,352,29
Joel Bran,m,latinamerica,14_3,159,1,157,8
Esteban Burgos,m,latinamerica,14_4,184,372,546,52
Agustin Garavaglia,m,latinamerica,14_4,187,223,618,60
Bruno Santos Feitosa,m,latinamerica,14_4,188,169,332,26
Artur Machado,m,latinamerica,14_4,188,185,400,33
Javier Meza,m,latinamerica,14_4,188,167,532,50
Claudio Poblete,m,latinamerica,14_4,188,175,556,53
Giancarlo Vera Ochoa,m,latinamerica,14_4,189,150,414,36
Cassiano Lessing,m,latinamerica,14_4,190,111,272,18
Dennis Kok,m,latinamerica,14_4,190,112,533,51
jose escudero,m,latinamerica,14_4,190,113,556,53
Andres Lee,m,latinamerica,14_4,190,126,563,55
anderon primo,m,latinamerica,14_4,191,101,383,31
Luis Emilio Barcia Ubillus,m,latinamerica,14_4,191,106,452,40
Moises Sevilla,m,latinamerica,14_4,192,84,156,7
Johnny Chong Pico,m,latinamerica,14_4,192,86,497,45
Casey Wylie,m,latinamerica,14_4,192,91,500,46
Fernando Villafaña,m,latinamerica,14_4,193,59,286,20
Luis Giraldo,m,latinamerica,14_4,193,73,294,22
Luiz Mello,m,latinamerica,14_4,193,63,459,42
Sebastian Stange,m,latinamerica,14_4,193,65,585,57
Luis Vildosola,m,latinamerica,14_4,194,51,363,30
Enrique Torano,m,latinamerica,14_4,194,48,398,32
Jovaldo Miranda Valdivia,m,latinamerica,14_4,194,47,474,44
Jonathan Noreña,m,latinamerica,14_4,194,54,585,57
Alan Garcia,m,latinamerica,14_4,195,38,141,6
Rodrigo Valenzuela,m,latinamerica,14_4,195,43,194,13
William Rivera landron,m,latinamerica,14_4,195,37,352,29
Martin Robledo,m,latinamerica,14_4,195,46,408,34
Carlos Lopez,m,latinamerica,14_4,195,40,444,38
Pepe Alvarez,m,latinamerica,14_4,195,42,465,43
Keith Kandetzke,m,latinamerica,14_4,195,41,515,48
Evaristo Cortes,m,latinamerica,14_4,195,44,581,56
Joel Bran,m,latinamerica,14_4,196,25,157,8
Titus Thut,m,latinamerica,14_4,196,26,158,9
Emmanuel Maldonado,m,latinamerica,14_4,196,27,211,14
Juan Cruz Sartori,m,latinamerica,14_4,196,27,295,23
Tiago Lopes,m,latinamerica,14_4,196,32,442,37
Alvaro Lopez,m,latinamerica,14_4,196,31,454,41
Conor Murphy,m,latinamerica,14_4,197,20,191,12
Stefano Orsini,m,latinamerica,14_4,197,21,241,15
Trevor Amodeo,m,latinamerica,14_4,197,23,249,16
Francis Torres,m,latinamerica,14_4,197,19,273,19
Augusto Castro,m,latinamerica,14_4,197,21,513,47
Tarcio Santos Ferreira,m,latinamerica,14_4,198,13,106,4
Batuque Iribarren,m,latinamerica,14_4,198,10,178,11
Evan Yoak,m,latinamerica,14_4,198,15,295,23
Kevin Vega,m,latinamerica,14_4,198,17,316,25
Javier Hidalgo,m,latinamerica,14_4,198,18,340,27
Alfredo Escobar,m,latinamerica,14_4,198,13,342,28
Zathan Simpson,m,latinamerica,14_4,198,12,408,34
Daniel Martínez massa,m,latinamerica,14_4,198,16,585,57
Emanuel Aponte,m,latinamerica,14_4,199,9,165,10
Douglas Oberbeck,m,latinamerica,14_4,200,8,451,39
Lucas Rosa,m,latinamerica,14_4,207,7,522,49
Marco Ramirez,m,latinamerica,14_4,208,6,293,21
Francisco Javier,m,latinamerica,14_4,212,5,271,17
Mark Desin,m,latinamerica,14_4,213,4,93,3
Orlando Trejo,m,latinamerica,14_4,215,3,50,2
Joaquin Jadue,m,latinamerica,14_4,218,2,136,5
Leonidas Jenkins,m,latinamerica,14_4,228,1,40,1
Orlando Trejo,m,latinamerica,14_5,NA,1,50,2
Alfredo Escobar,m,latinamerica,14_5,NA,3,342,28
Rodrigo Valenzuela,m,latinamerica,14_5,NA,4,194,13
Juan Cruz Sartori,m,latinamerica,14_5,NA,5,295,23
Pepe Alvarez,m,latinamerica,14_5,NA,5,465,43
jose escudero,m,latinamerica,14_5,NA,7,556,53
Joel Bran,m,latinamerica,14_5,NA,8,157,8
Tarcio Santos Ferreira,m,latinamerica,14_5,NA,9,106,4
Alan Garcia,m,latinamerica,14_5,NA,9,141,6
Leonidas Jenkins,m,latinamerica,14_5,NA,11,40,1
Emanuel Aponte,m,latinamerica,14_5,NA,12,165,10
Batuque Iribarren,m,latinamerica,14_5,NA,13,178,11
Conor Murphy,m,latinamerica,14_5,NA,16,191,12
Esteban Burgos,m,latinamerica,14_5,NA,16,546,52
Emmanuel Maldonado,m,latinamerica,14_5,NA,18,211,14
Bruno Santos Feitosa,m,latinamerica,14_5,NA,19,332,26
Mark Desin,m,latinamerica,14_5,NA,20,93,3
Trevor Amodeo,m,latinamerica,14_5,NA,20,249,16
Giancarlo Vera Ochoa,m,latinamerica,14_5,NA,20,414,36
Moises Sevilla,m,latinamerica,14_5,NA,23,156,7
William Rivera landron,m,latinamerica,14_5,NA,25,352,29
Luis Vildosola,m,latinamerica,14_5,NA,25,363,30
Stefano Orsini,m,latinamerica,14_5,NA,30,241,15
Francis Torres,m,latinamerica,14_5,NA,33,273,19
Enrique Torano,m,latinamerica,14_5,NA,33,398,32
Zathan Simpson,m,latinamerica,14_5,NA,35,408,34
Titus Thut,m,latinamerica,14_5,NA,37,158,9
Martin Robledo,m,latinamerica,14_5,NA,39,408,34
Jovaldo Miranda Valdivia,m,latinamerica,14_5,NA,39,474,44
Francisco Javier,m,latinamerica,14_5,NA,45,271,17
Alvaro Lopez,m,latinamerica,14_5,NA,45,454,41
Javier Meza,m,latinamerica,14_5,NA,51,532,50
Artur Machado,m,latinamerica,14_5,NA,55,400,33
Cassiano Lessing,m,latinamerica,14_5,NA,56,272,18
Marco Ramirez,m,latinamerica,14_5,NA,57,293,21
Luis Emilio Barcia Ubillus,m,latinamerica,14_5,NA,57,452,40
Fernando Villafaña,m,latinamerica,14_5,NA,60,286,20
Agustin Garavaglia,m,latinamerica,14_5,NA,63,618,60
Andres Lee,m,latinamerica,14_5,NA,78,563,55
Joaquin Jadue,m,latinamerica,14_5,NA,82,136,5
Tiago Lopes,m,latinamerica,14_5,NA,88,442,37
Claudio Poblete,m,latinamerica,14_5,NA,90,556,53
Carlos Lopez,m,latinamerica,14_5,NA,92,444,38
Evaristo Cortes,m,latinamerica,14_5,NA,92,581,56
Lucas Rosa,m,latinamerica,14_5,NA,97,522,49
Johnny Chong Pico,m,latinamerica,14_5,NA,108,497,45
Luis Giraldo,m,latinamerica,14_5,NA,115,294,22
Javier Hidalgo,m,latinamerica,14_5,NA,135,340,27
anderon primo,m,latinamerica,14_5,NA,138,383,31
Evan Yoak,m,latinamerica,14_5,NA,142,295,23
Douglas Oberbeck,m,latinamerica,14_5,NA,154,451,39
Casey Wylie,m,latinamerica,14_5,NA,157,500,46
Keith Kandetzke,m,latinamerica,14_5,NA,169,515,48
Luiz Mello,m,latinamerica,14_5,NA,178,459,42
Jonathan Noreña,m,latinamerica,14_5,NA,189,585,57
Kevin Vega,m,latinamerica,14_5,NA,215,316,25
Sebastian Stange,m,latinamerica,14_5,NA,216,585,57
Dennis Kok,m,latinamerica,14_5,NA,223,533,51
Daniel Martínez massa,m,latinamerica,14_5,NA,236,585,57
Augusto Castro,m,latinamerica,14_5,NA,385,513,47
Michael Tancini,m,midatlantic,14_1,348,262,570,49
Robert Fitzpatrick,m,midatlantic,14_1,351,203,679,60
Tyler Cox,m,midatlantic,14_1,352,187,449,39
Clifford Kohut,m,midatlantic,14_1,352,187,492,43
Kevin Grear,m,midatlantic,14_1,352,187,550,47
jason baity,m,midatlantic,14_1,353,173,447,38
Kurt Miller,m,midatlantic,14_1,353,173,649,56
Hunter Wood,m,midatlantic,14_1,354,161,390,28
Wendell Watson,m,midatlantic,14_1,354,161,665,57
Jordan Troyan,m,midatlantic,14_1,355,145,297,17
Nicky Hoberman,m,midatlantic,14_1,355,145,399,30
Will Hall,m,midatlantic,14_1,355,145,506,44
Craig Williams,m,midatlantic,14_1,356,131,311,18
Erik Christensen,m,midatlantic,14_1,356,131,479,41
Cj JACOBSEN,m,midatlantic,14_1,357,113,259,15
Uriah Aviles,m,midatlantic,14_1,357,113,413,33
Daniel Skidmore,m,midatlantic,14_1,357,113,428,36
Kyle Ruth,m,midatlantic,14_1,357,113,435,37
Sean Thomson,m,midatlantic,14_1,358,109,376,26
George Caroulis,m,midatlantic,14_1,358,109,606,53
Kent Ingalls,m,midatlantic,14_1,359,104,343,22
Sean Sweeney,m,midatlantic,14_1,360,86,182,9
Adam Blaney,m,midatlantic,14_1,360,86,343,22
Ben Sturgill,m,midatlantic,14_1,360,86,474,40
Zach Brock,m,midatlantic,14_1,360,86,578,50
Jonathan Bostic,m,midatlantic,14_1,360,86,590,52
Brad Weiss,m,midatlantic,14_1,360,86,608,54
Ryan Bauer,m,midatlantic,14_1,361,82,675,58
John Zvejnieks,m,midatlantic,14_1,363,77,425,35
Todd Edmunds,m,midatlantic,14_1,364,75,397,29
Preston Austin,m,midatlantic,14_1,365,72,419,34
Jim Crowell,m,midatlantic,14_1,366,71,345,24
Jeremy Priar,m,midatlantic,14_1,370,66,481,42
Tyler Trettin,m,midatlantic,14_1,375,62,624,55
Mike Juricich,m,midatlantic,14_1,382,55,378,27
Matt Gutierrez,m,midatlantic,14_1,382,55,555,48
Gary Helmick,m,midatlantic,14_1,383,50,87,2
Anthony Kurz,m,midatlantic,14_1,383,50,318,19
Nate Schrader,m,midatlantic,14_1,387,45,126,5
David Borrelli,m,midatlantic,14_1,387,45,232,13
Paul Buono,m,midatlantic,14_1,390,37,349,25
Chris Martirano,m,midatlantic,14_1,390,37,411,32
Josh Wagner,m,midatlantic,14_1,392,27,269,16
Thomas Hooton,m,midatlantic,14_1,392,27,677,59
Brad Chilva,m,midatlantic,14_1,394,23,210,12
Adam Klink,m,midatlantic,14_1,395,21,168,7
Ryan Troupe,m,midatlantic,14_1,395,21,511,45
Jonathan Morgan,m,midatlantic,14_1,396,20,531,46
Shawn Butler,m,midatlantic,14_1,397,18,326,20
Nathan Trevillian,m,midatlantic,14_1,397,18,589,51
Nathan Keil,m,midatlantic,14_1,398,15,105,3
Nathan Bramblett,m,midatlantic,14_1,398,15,111,4
Thomas Nay,m,midatlantic,14_1,398,15,194,11
Sonny Zickefoose,m,midatlantic,14_1,399,14,334,21
Ray Gutierrez,m,midatlantic,14_1,403,10,407,31
Joshua Arcona,m,midatlantic,14_1,405,6,242,14
Michael Priest,m,midatlantic,14_1,406,5,138,6
Ben Smith,m,midatlantic,14_1,433,3,11,1
Falke Verwer,m,midatlantic,14_1,438,2,185,10
